inchikey,smiles,molwt,logp,HBA,HBD
WUTYZMFRCNBCHQ-LHIURRSHSA-N,CC1OC2(CS1)CN1CCC2CC1,199.31900000000002,1.5601999999999998,2,0
DIWRORZWFLOCLC-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.163,3.101300000000001,4,2
AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,295.3790000000001,1.5298999999999994,5,2
GXJABQQUPOEUTA-RDJZCZTQSA-N,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,384.2450000000001,0.3605999999999992,8,4
ZEHYJZXQEQOSON-UHFFFAOYSA-N,C#CC(O)(C=CCl)CC,144.601,1.5131999999999999,1,1
TZFNLOMSOLWIDK-JTQLQIEISA-N,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,226.23200000000003,-0.053099999999999925,6,6
DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(N)Cc1ccccc1,149.237,1.9664,1,2
UCEWGESNIULAGX-UHFFFAOYSA-N,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,308.42500000000007,3.2166000000000023,3,3
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.38100000000003,2.6346000000000007,3,1
OIRDTQYFTABQOQ-UHTZMRCNSA-N,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,267.245,-1.979999999999998,9,5
NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.434,2.3933999999999997,4,2
RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.276,0.7357999999999996,7,1
